id;insumo;stock
ITEM-0230;Bata descartable;271
ITEM-0231;Algodón 250g;270
ITEM-0232;Mascarilla quirúrgica;269
ITEM-0233;Algodón 250g;268
ITEM-0234;Alcohol 70% 1L;267
ITEM-0235;Esparadrapo 5cm;266
ITEM-0236;Esparadrapo 5cm;265
ITEM-0237;Alcohol 70% 1L;264
ITEM-0238;Jeringa 5ml;263
ITEM-0239;Mascarilla quirúrgica;262
ITEM-0240;Jeringa 5ml;261
ITEM-0241;Jeringa 5ml;260
ITEM-0242;Bata descartable;259
ITEM-0243;Catéter 18G;258
ITEM-0244;Bata descartable;257
ITEM-0245;Catéter 18G;256
ITEM-0246;Gasas 10x10;255
ITEM-0247;Algodón 250g;254
ITEM-0248;Catéter 18G;253
ITEM-0249;Alcohol 70% 1L;252
ITEM-0250;Bata descartable;251
ITEM-0251;Mascarilla quirúrgica;250
ITEM-0252;Algodón 250g;249
ITEM-0253;Gasas 10x10;248
ITEM-0254;Catéter 18G;247
ITEM-0255;Gasas 10x10;246
ITEM-0256;Mascarilla quirúrgica;245
ITEM-0257;Jeringa 5ml;244
ITEM-0258;Esparadrapo 5cm;243
ITEM-0259;Mascarilla quirúrgica;242
ITEM-0260;Termómetro digital;241
ITEM-0261;Mascarilla quirúrgica;240
ITEM-0262;Gasas 10x10;239
ITEM-0263;Alcohol 70% 1L;238
ITEM-0264;Bata descartable;237
ITEM-0265;Alcohol 70% 1L;236
ITEM-0266;Gasas 10x10;235
ITEM-0267;Bata descartable;234
ITEM-0268;Termómetro digital;233
ITEM-0269;Esparadrapo 5cm;232
ITEM-0270;Algodón 250g;231
ITEM-0271;Gasas 10x10;230
ITEM-0272;Catéter 18G;229
ITEM-0273;Gasas 10x10;228
ITEM-0274;Gasas 10x10;227
ITEM-0275;Bata descartable;226
ITEM-0276;Guante Nitrilo Talla M;225
ITEM-0277;Mascarilla quirúrgica;224
ITEM-0278;Guante Nitrilo Talla M;223
ITEM-0279;Termómetro digital;222
ITEM-0280;Catéter 18G;221
ITEM-0281;Esparadrapo 5cm;220
ITEM-0282;Jeringa 5ml;219
ITEM-0283;Termómetro digital;218
ITEM-0284;Jeringa 5ml;217
ITEM-0285;Jeringa 5ml;216
ITEM-0286;Esparadrapo 5cm;215
ITEM-0287;Alcohol 70% 1L;214
ITEM-0288;Guante Nitrilo Talla M;213
ITEM-0289;Gasas 10x10;212
ITEM-0290;Algodón 250g;211
ITEM-0291;Jeringa 5ml;210
ITEM-0292;Catéter 18G;209
ITEM-0293;Termómetro digital;208
ITEM-0294;Alcohol 70% 1L;207
ITEM-0295;Jeringa 5ml;206
ITEM-0296;Alcohol 70% 1L;205
ITEM-0297;Alcohol 70% 1L;204
ITEM-0298;Jeringa 5ml;203
ITEM-0299;Bata descartable;202
ITEM-0300;Mascarilla quirúrgica;201
ITEM-0301;Catéter 18G;200
ITEM-0302;Gasas 10x10;199
ITEM-0303;Gasas 10x10;198
ITEM-0304;Catéter 18G;197
ITEM-0305;Bata descartable;196
ITEM-0306;Gasas 10x10;195
ITEM-0307;Alcohol 70% 1L;194
ITEM-0308;Esparadrapo 5cm;193
ITEM-0309;Termómetro digital;192
ITEM-0310;Guante Nitrilo Talla M;191
ITEM-0311;Gasas 10x10;190
ITEM-0312;Catéter 18G;189
ITEM-0313;Esparadrapo 5cm;188
ITEM-0314;Jeringa 5ml;187
ITEM-0315;Mascarilla quirúrgica;186
ITEM-0316;Catéter 18G;185
ITEM-0317;Alcohol 70% 1L;184
ITEM-0318;Mascarilla quirúrgica;183
ITEM-0319;Termómetro digital;182
ITEM-0320;Termómetro digital;181
ITEM-0321;Bata descartable;180
ITEM-0322;Algodón 250g;179
ITEM-0323;Bata descartable;178
ITEM-0324;Esparadrapo 5cm;177
ITEM-0325;Mascarilla quirúrgica;176
ITEM-0326;Algodón 250g;175
ITEM-0327;Jeringa 5ml;174
ITEM-0328;Alcohol 70% 1L;173
ITEM-0329;Mascarilla quirúrgica;172
ITEM-0330;Bata descartable;171
ITEM-0331;Guante Nitrilo Talla M;170
ITEM-0332;Algodón 250g;169
ITEM-0333;Algodón 250g;168
ITEM-0334;Alcohol 70% 1L;167
ITEM-0335;Gasas 10x10;166
ITEM-0336;Termómetro digital;165
ITEM-0337;Termómetro digital;164
ITEM-0338;Guante Nitrilo Talla M;163
ITEM-0339;Esparadrapo 5cm;162
ITEM-0340;Esparadrapo 5cm;161
ITEM-0341;Jeringa 5ml;160
ITEM-0342;Mascarilla quirúrgica;159
ITEM-0343;Catéter 18G;158
ITEM-0344;Gasas 10x10;157
ITEM-0345;Bata descartable;156
ITEM-0346;Catéter 18G;155
ITEM-0347;Catéter 18G;154
ITEM-0348;Algodón 250g;153
ITEM-0349;Guante Nitrilo Talla M;152
ITEM-0350;Termómetro digital;151
ITEM-0351;Jeringa 5ml;150
ITEM-0352;Esparadrapo 5cm;149
ITEM-0353;Guante Nitrilo Talla M;148
ITEM-0354;Algodón 250g;147
ITEM-0355;Bata descartable;146
ITEM-0356;Jeringa 5ml;145
ITEM-0357;Algodón 250g;144
ITEM-0358;Termómetro digital;143
ITEM-0359;Termómetro digital;142
ITEM-0360;Termómetro digital;141
ITEM-0361;Guante Nitrilo Talla M;140
ITEM-0362;Guante Nitrilo Talla M;139
ITEM-0363;Esparadrapo 5cm;138
ITEM-0364;Esparadrapo 5cm;137
ITEM-0365;Bata descartable;136
ITEM-0366;Jeringa 5ml;135
ITEM-0367;Alcohol 70% 1L;134
ITEM-0368;Alcohol 70% 1L;133
ITEM-0369;Algodón 250g;132
ITEM-0370;Termómetro digital;131
ITEM-0371;Jeringa 5ml;130
ITEM-0372;Catéter 18G;129
ITEM-0373;Guante Nitrilo Talla M;128
ITEM-0374;Mascarilla quirúrgica;127
ITEM-0375;Gasas 10x10;126
ITEM-0376;Bata descartable;125
ITEM-0377;Termómetro digital;124
ITEM-0378;Termómetro digital;123
ITEM-0379;Termómetro digital;122
ITEM-0380;Guante Nitrilo Talla M;121
ITEM-0381;Guante Nitrilo Talla M;120
ITEM-0382;Gasas 10x10;119
ITEM-0383;Catéter 18G;118
ITEM-0384;Jeringa 5ml;117
ITEM-0385;Termómetro digital;116
ITEM-0386;Alcohol 70% 1L;115
ITEM-0387;Esparadrapo 5cm;114
ITEM-0388;Alcohol 70% 1L;113
ITEM-0389;Algodón 250g;112
ITEM-0390;Alcohol 70% 1L;111
ITEM-0391;Algodón 250g;110
ITEM-0392;Mascarilla quirúrgica;109
ITEM-0393;Esparadrapo 5cm;108
ITEM-0394;Alcohol 70% 1L;107
ITEM-0395;Mascarilla quirúrgica;106
ITEM-0396;Bata descartable;105
ITEM-0397;Jeringa 5ml;104
ITEM-0398;Mascarilla quirúrgica;103
ITEM-0399;Jeringa 5ml;102
ITEM-0400;Alcohol 70% 1L;101
ITEM-0401;Catéter 18G;100
ITEM-0402;Mascarilla quirúrgica;99
ITEM-0403;Esparadrapo 5cm;98
ITEM-0404;Alcohol 70% 1L;97
ITEM-0405;Termómetro digital;96
ITEM-0406;Guante Nitrilo Talla M;95
ITEM-0407;Mascarilla quirúrgica;94
ITEM-0408;Esparadrapo 5cm;93
ITEM-0409;Bata descartable;92
ITEM-0410;Termómetro digital;91
ITEM-0411;Bata descartable;90
ITEM-0412;Alcohol 70% 1L;89
ITEM-0413;Guante Nitrilo Talla M;88
ITEM-0414;Mascarilla quirúrgica;87
ITEM-0415;Mascarilla quirúrgica;86
ITEM-0416;Catéter 18G;85
ITEM-0417;Catéter 18G;84
ITEM-0418;Alcohol 70% 1L;83
ITEM-0419;Alcohol 70% 1L;82
ITEM-0420;Guante Nitrilo Talla M;81
ITEM-0421;Catéter 18G;80
ITEM-0422;Esparadrapo 5cm;79
ITEM-0423;Esparadrapo 5cm;78
ITEM-0424;Guante Nitrilo Talla M;77
ITEM-0425;Esparadrapo 5cm;76
ITEM-0426;Algodón 250g;75
ITEM-0427;Jeringa 5ml;74
ITEM-0428;Guante Nitrilo Talla M;73
ITEM-0429;Guante Nitrilo Talla M;72
ITEM-0430;Gasas 10x10;71
ITEM-0431;Termómetro digital;70
ITEM-0432;Termómetro digital;69
ITEM-0433;Algodón 250g;68
ITEM-0434;Catéter 18G;67
ITEM-0435;Alcohol 70% 1L;66
ITEM-0436;Alcohol 70% 1L;65
ITEM-0437;Bata descartable;64
ITEM-0438;Algodón 250g;63
ITEM-0439;Guante Nitrilo Talla M;62
ITEM-0440;Algodón 250g;61
ITEM-0441;Algodón 250g;60
ITEM-0442;Algodón 250g;59
ITEM-0443;Termómetro digital;58
ITEM-0444;Algodón 250g;57
ITEM-0445;Jeringa 5ml;56
ITEM-0446;Alcohol 70% 1L;55
ITEM-0447;Bata descartable;54
ITEM-0448;Jeringa 5ml;53
ITEM-0449;Bata descartable;52
ITEM-0450;Gasas 10x10;51
ITEM-0451;Bata descartable;50
ITEM-0452;Alcohol 70% 1L;49
ITEM-0453;Alcohol 70% 1L;48
ITEM-0454;Algodón 250g;47
ITEM-0455;Mascarilla quirúrgica;46
ITEM-0456;Gasas 10x10;45
ITEM-0457;Guante Nitrilo Talla M;44
ITEM-0458;Esparadrapo 5cm;43
ITEM-0459;Bata descartable;42
ITEM-0460;Mascarilla quirúrgica;41
ITEM-0461;Algodón 250g;40
ITEM-0462;Termómetro digital;39
ITEM-0463;Guante Nitrilo Talla M;38
ITEM-0464;Catéter 18G;37
ITEM-0465;Mascarilla quirúrgica;36
ITEM-0466;Termómetro digital;35
ITEM-0467;Gasas 10x10;34
ITEM-0468;Algodón 250g;33
ITEM-0469;Guante Nitrilo Talla M;32
ITEM-0470;Guante Nitrilo Talla M;31
ITEM-0471;Guante Nitrilo Talla M;30
ITEM-0472;Gasas 10x10;29
ITEM-0473;Bata descartable;28
ITEM-0474;Catéter 18G;27
ITEM-0475;Gasas 10x10;26
ITEM-0476;Esparadrapo 5cm;25
ITEM-0477;Catéter 18G;24
ITEM-0478;Alcohol 70% 1L;23
ITEM-0479;Algodón 250g;22
ITEM-0480;Gasas 10x10;21
ITEM-0481;Termómetro digital;20
ITEM-0482;Catéter 18G;19
ITEM-0483;Esparadrapo 5cm;18
ITEM-0484;Alcohol 70% 1L;17
ITEM-0485;Bata descartable;16
ITEM-0486;Termómetro digital;15
ITEM-0487;Catéter 18G;14
ITEM-0488;Algodón 250g;13
ITEM-0489;Termómetro digital;12
ITEM-0490;Alcohol 70% 1L;11
ITEM-0491;Termómetro digital;10
ITEM-0492;Jeringa 5ml;9
ITEM-0493;Mascarilla quirúrgica;8
ITEM-0494;Bata descartable;7
ITEM-0495;Alcohol 70% 1L;6
ITEM-0496;Termómetro digital;5
ITEM-0497;Mascarilla quirúrgica;4
ITEM-0498;Mascarilla quirúrgica;3
ITEM-0499;Termómetro digital;2
ITEM-0500;Algodón 250g;1
